Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,Mulheres,Homens,Responsavel
251370305000032,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,71,240,3.38,2.84,484.66,395494.03,688.22,422039.73,299.98,246423.52,615.58,312085.24,NA,4,20,11,5,3,1,3,0,0,0,0,0,0,4,10,3,0,0,0,5,5,1,2,1,3,7,5,0,0,0,0,0,0,1,0,0,0,0,30,64,Homens
251370305000033,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,295,1019,3.45,2.04,805.71,424902.81,867.46,403824.13,457.86,310075.99,750.49,288600.22,NA,33,58,63,17,8,7,7,1,0,0,0,0,0,32,24,11,1,0,0,26,23,28,10,5,1,9,14,6,3,1,0,0,12,2,2,0,0,0,142,262,Homens
251370305000034,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,261,925,3.54,2.2,983.84,2048976.04,1074.4,2140668.52,534.07,863837.4,830.32,1097475.53,NA,26,35,47,23,7,7,5,4,0,1,0,0,0,22,15,11,6,1,0,24,32,25,9,5,5,11,15,6,4,0,0,0,9,7,2,3,0,0,157,210,Homens
251370305000035,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,283,1022,3.61,2.35,644.08,361095.65,802.98,322418.42,344.53,291916.81,730.08,337213.8,NA,27,46,49,19,9,6,5,3,0,0,0,0,0,24,19,13,1,0,0,27,32,21,19,7,7,9,18,12,1,3,0,0,9,6,1,1,1,0,174,221,Homens
251370305000036,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,146,513,3.51,2.8,705.16,311059.14,779.95,285525.03,451.15,332550.12,708.52,339933.99,NA,18,20,27,10,1,6,6,2,0,0,0,0,0,16,7,5,3,0,0,12,11,20,4,2,3,6,10,5,5,0,0,0,2,2,2,0,0,0,84,121,Homens
251370305000037,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,224,799,3.57,2.08,666.71,293502.59,773.79,257596,380.84,217256.01,663.75,190795.68,NA,36,39,46,23,7,6,4,0,0,0,0,0,0,36,20,11,4,1,0,14,15,12,10,3,4,5,8,6,2,2,0,0,6,1,0,0,0,0,88,233,Homens
251370305000038,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,219,808,3.69,2.93,750.54,2305967.06,893.31,2618767.47,404.88,943943.63,742.46,1481817.89,NA,27,36,35,19,13,8,11,1,0,0,0,0,0,26,20,6,2,1,0,10,14,22,8,5,4,7,6,4,1,2,0,0,4,2,2,1,0,0,92,205,Homens
251370305000039,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,274,971,3.54,2.14,663.74,489723,754.63,488188.63,367.1,283624.19,652.89,317907.7,NA,24,49,57,18,11,5,8,1,0,0,0,0,0,23,22,16,1,1,0,16,31,22,17,3,2,11,9,12,0,3,0,0,7,6,2,0,0,0,141,236,Homens
251370305000040,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,178,602,3.38,2.31,698.85,420162.71,767.87,408588.82,425.77,318917.73,691.71,334211.25,NA,21,33,27,11,8,1,15,3,2,0,0,0,0,18,19,4,2,0,0,14,20,11,10,1,5,1,10,5,1,0,0,0,4,5,1,1,0,0,89,164,Homens
251370305000041,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,129,399,3.09,2.09,610.38,261405,690.69,240142.16,367.22,201030.74,647.27,172930.06,NA,8,18,20,6,5,1,7,0,0,0,0,0,0,8,4,7,0,2,0,20,19,8,3,2,1,11,14,5,0,0,0,0,6,3,0,0,0,0,92,86,Mulheres
251370305000042,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,255,858,3.36,2.37,691.1,1005738.14,740.46,1041173.18,411.25,486897.86,626.39,607091.98,NA,20,49,41,15,7,3,7,2,0,0,0,0,0,18,18,9,3,0,0,30,31,12,12,6,6,16,17,16,1,0,0,0,13,2,0,1,0,0,163,192,Homens
251370305000043,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,280,916,3.27,2.57,614.48,430351.33,656.7,432201.11,370.67,243983.45,586.41,259506.22,NA,23,46,47,11,2,3,11,0,1,0,0,1,0,23,17,12,2,1,0,35,39,22,14,5,5,17,26,17,4,0,0,0,9,4,3,0,0,0,200,200,Homens
251370305000044,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,288,987,3.43,2.15,802.5,1454144.84,895.82,1539971.44,466.82,709586.47,785.02,943931.2,NA,30,58,36,31,9,2,9,2,1,0,0,0,0,28,25,5,3,2,0,20,25,27,16,4,4,17,14,12,10,0,0,0,6,2,4,3,0,0,164,241,Homens
251370305000045,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,335,1050,3.13,2.43,1256.62,1300918.36,1315.53,1284356.96,745.56,938530.68,1103.07,994299.38,NA,42,50,51,16,9,3,22,2,1,0,0,0,0,40,23,8,3,1,0,37,36,18,13,8,5,25,18,4,0,0,0,0,19,12,2,0,0,0,197,271,Homens
251370305000046,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,354,1198,3.38,2.99,872.62,945713.43,977.55,956894.08,509.44,580483.49,851.54,679135.81,NA,37,39,42,25,16,10,24,1,1,0,0,0,0,36,20,9,3,0,0,41,37,34,15,7,6,21,21,7,5,2,0,0,20,10,4,0,0,0,230,263,Homens
251370305000047,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,254,963,3.79,2.8,903.55,881968.19,964.29,882689.14,517.7,2320749.08,815.74,3415730.86,NA,21,46,52,19,10,7,12,0,1,0,0,0,0,21,24,13,3,1,0,14,13,23,13,11,7,6,6,7,5,0,0,0,8,1,1,2,0,0,117,230,Homens
251370305000048,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,221,878,3.97,4.04,313.3,103277.39,484.2,76679.02,210.59,80786.05,468.57,58800.74,NA,18,22,21,13,11,12,9,2,0,0,0,0,0,16,9,9,1,0,0,15,27,27,18,10,9,9,12,10,9,1,0,0,3,2,2,0,0,0,154,143,Mulheres
251370305000049,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,194,762,3.93,4.19,391.31,55785.85,465.73,31586.98,202.63,75546.52,442.76,58693.03,NA,26,30,31,14,11,14,5,1,0,0,0,0,0,25,15,4,1,0,2,5,17,13,10,3,6,9,4,7,1,2,0,0,1,2,1,0,0,0,81,179,Homens
